"title","gmd_name","edition","isbn_issn","publisher_name","publish_year","collation","series_title","call_number","language_name","place_name","classification","notes","image","sor","authors","topics","item_code"
"Daylight Robbery","book","","","","","","","","English","","","","","","","","<KE971>"
"The dwarfish Genie","book","","","","","","","","English","","","","","","<MAQBOOL BOOKS>","","<KE970>"
"Sleeping Beauty","book","","","","","","","","English","","","","","","","","<KE969>"
"A mouse's Wedding","book","","","","","","","","English","","","","","","","","<KE968>"
"A lion and a Mosquito","book","","","","","","","","English","","","","","","<MAQBOOL BOOKS>","","<KE967>"
"A Visit To The Supermarket","book","","","","","","","","English","","","","","","","","<KE966>"
"Bill and Bean","book","","","","","","","","English","","","","","","<Thomas and friends>","","<KE965>"
"fun and Bumps","book","","","","","","","","English","","","","","","<Thomas and friends>","","<KE964>"
"The Flying Carpet","book","","","","","","","","English","","","","","","","","<KE963>"
"The Litter Queen","book","","","","","","","","English","","","","","","<OXFORD>","","<KE962>"
"Arachne And Weaver","book","","","","","","","","English","","","","","","","","<KE961>"
"The Rainbow Machine","book","","","","","","","","English","","","","","","<OXFORD>","","<KE960>"
"Survival Adventure","book","","","","","","","","English","","","","","","","","<KE959>"
"Ice Market - Ice breaker","book","","","","","","","","English","","","","","","<OXFORD>","","<KE958>"
"The Motorway","book","","","","","","","","English","","","","","","","","<KE957>"
"The Special Table","book","","","","","","","","English","","","","","","<Kites>","","<KE956>"
"Friends Out West","book","","","","","","","","English","","","","","","","","<KE955>"
"Aladin and the wounderful lamp","book","","","","","","","","English","","","","","","<CHILDREN PUBLICATION>","","<KE954>"
"The Mule And The House Dog","book","","","","","","","","English","","","","","","","","<KE953>"
"Victorian Adventure","book","","","","","","","","English","","","","","","<OXFORD>","","<KE952>"
"The Hungry Wolf And The Fox","book","","","","","","","","English","","","","","","","","<KE951>"
"White is the Moon","book","","","","","","","","English","","","","","","<Valerie Greeley>","","<KE950>"
"Water","book","","","","","","","","English","","","","","","<daine Tippell>","","<KE949>"
"The Birthday Invitation","book","","","","","","","","GUJRATI","","","","","","","","<KE948>"
"Be Happy","book","","","","","","","","English","","","","","","<YOUNG READERS>","","<KE947>"
"Danials Birthday","book","","","","","","","","English","","","","","","","","<KE946>"
"Chilly Catches A cold","book","","","","","","","","English","","","","","","<DISNEY>","","<KE945>"
"The Emperors New Cloths","book","","","","","","","","English","","","","","","","","<KE944>"
"The Brave Tortise","book","","","","","","","","English","","","","","","<YOUNG READERS>","","<KE943>"
"Little Star","book","","","","","","","","English","","","","","","","","<KE942>"
"A bird in the bush","book","","","","","","","","English","","","","","","<OXFORD>","","<KE941>"
"Cinderella","book","","","","","","","","English","","","","","","","","<KE940>"
"The Kidnappers","book","","","","","","","","English","","","","","","<OXFORD>","","<KE939>"
"A Proud Horse","book","","","","","","","","English","","","","","","","","<KE938>"
"Phapa's Quest","book","","","","","","","","English","","","","","","<WWF>","","<KE937>"
"fix and mend","book","","","","","","","","English","","","","","","<Thomas and friends>","","<KE936>"
"The Three Billy Goats Gruff","book","","","","","","","","English","","","","","","","","<KE935>"
"Tinga's car","book","","","","","","","","English","","","","","","<OXFORD>","","<KE934>"
"A year at Duck Green","book","","","","","","","","English","","","","","","<OXFORD>","","<KE933>"
"Footprint in the snow","book","","","","","","","","English","","","","","","<karen wallace>","","<KE932>"
"A visit to the Dentist","book","","","","","","","","English","","","","","","<OXFORD>","","<KE931>"
"bible","book","","","","","","","","English","","","","","","<--->","","<REL001>"
"Mr Stink","book","","","","","","","","English","","","","","","<David Walliams>","","<KE930>"
"Fing","book","","","","","","","","English","","","","","","<David Walliams>","","<KE929>"
"Up The Faraway Tree","book","","","","","","","","English","","","","","","<ENID BLYTON>","","<KE928>"
"The Adventures of the Wishing Chair","book","","","","","","","","English","","","","","","<ENID BLYTON>","","<KE927>"
"The Little Prince","book","","","","","","","","English","","","","","","<ILQA>","","<KE926>"
"Awful Auntie","book","","","","","","","","English","","","","","","<David Walliams>","","<KE925>"
"Roald Dahl","book","","","","","","","","English","","","","","","<scholastic>","","<KE924>"
"Star Wars Adventures in Wild Space The Nest","book","","","","","","","","English","","","","","","<DISNEY>","","<KE923>"
"The Conquest of Happiness","book","","","","","","","","English","","","","","","<Bertrand Russell>","","<ELT627>"
"Notes From UnderGround","book","","","","","","","","English","","","","","","<FYODOR DOSTOYEVSKY>","","<ELT626>"
"Walking on Water","book","","","","","","","","English","","","","","","<SUNRISE PUBLICATIONS>","","<KE922>"
"The BreadWinner","book","","","","","","","","English","","","","","","<Deborah Ellis>","","<ELT625>"
"Thumbelina","book","","","","","","","","English","","","","","","<Junior Book Club>","","<KE921>"
"Anne Of Green Gables","book","","","","","","","","English","","","","","","<L.M MONTGOMERY>","","<ELT624>"
"How to choose and care for a cat","book","","","","","","","","GUJRATI","","","","","","<enslow>","","<KE920>"
"Alice's Adventure in Wounderland","book","","","","","","","","English","","","","","","<LEWIS CAROLL>","","<ELT623>"
"Sam's Sunflower","book","","","","","","","","English","","","","","","<Franklin Watts>","","<KE919>"
"The WounderFul Wirzard of Oz","book","","","","","","","","English","","","","","","<L.Frank Baum>","","<ELT622>"
"Taking Care","book","","","","","","","","English","","","","","","<Claire Llewellyn>","","<KE918>"
"YellowFace","book","","","","","","","","English","","","","","","<R.F.KUANG>","","<ELT621>"
"Moral Stories Book 3","book","","","","","","","","English","","","","","","<Moral Stories>","","<KE917>"
"Days At The Morisaki Bookshop","book","","","","","","","","English","","","","","","<Satoshi Yagisawa>","","<ELT620>"
"Barbie Princess Golden Hood","book","","","","","","","","English","","","","","","<Euro Kids>","","<KE916>"
"Carnival","book","","","","","","","","English","","","","","","<stephanie garber>","","<ELT619>"
"The Lost Bookshop","book","","","","","","","","English","","","","","","<Evie Woods>","","<ELT618>"
"Fire and Blood Pt 2","book","","","","","","","","English","","","","","","<George R.R Martin>","","<ELT617>"
"Fire and Blood Pt 1","book","","","","","","","","English","","","","","","<George R.R Martin>","","<ELT616>"
"finale","book","","","","","","","","English","","","","","","<stephanie garber>","","<ELT615>"
"hello beautiful","book","","","","","","","","English","","","","","","<ann napolitano>","","<ELT614>"
"the hating game","book","","","","","","","","English","","","","","","<sally thorne>","","<ELT613>"
"legendary","book","","","","","","","","English","","","","","","<stephanie garber>","","<ELT612>"
"layle","book","","","","","","","","English","","","","","","<colleen hoover>","","<ELT611>"
"the upside of falling","book","","","","","","","","English","","","","","","<alex light>","","<ELT610>"
"a good girls guide to murder","book","","","","","","","","English","","","","","","<holly jackson>","","<ELT609>"
"behind closed doors","book","","","","","","","","English","","","","","","<b a paris>","","<ELT608>"
"the guest list","book","","","","","","","","English","","","","","","<lucy foley>","","<ELT607>"
"if you could see the sun","book","","","","","","","","English","","","","","","<Ann Liang>","","<ELT606>"
